wav/allineedisawadofcashwithaheadwrappedaroundit.wav|Oh, I mean there's a lot of cash with the head wrapped around it.
wav/alrightimrich.wav|Alright, I'm rich!
wav/areyoukidding.wav|Are you kidding?
wav/awmanthatcrapsheavy.wav|Oh man, that crap's heavy!
wav/bender-1.wav|bender!
wav/bitemyshinymetalass.wav|bite my shiny metal ass!
wav/bodiesareforhookersandfatpeople.wav|Bodies are for hookers and fat people.
wav/cantyouseeimusingthetoilet.wav|Can't you see I'm using a toilet?
wav/compareyourlivestomineandthenkillyourselves.wav|Compare your lives to mine and then kill yourselves
wav/dontmakemekickyourneck.wav|Don't make me kick your neck!
wav/dreamonskintube.wav|Dream on skin tube.
wav/everbeenbeatenupbyaguydressedlikeachick.wav|Ever been beaten up by a guy just like a chick
wav/gotit.wav|Got it!
wav/hahohwaityoureseriousletmelaughevenharder.wav|HAHAHAHAHAHAHAHA Oh wait, you're serious! Let me laugh even harder! HAHAHAHAHAHAHAHAHAHA
wav/hello.wav|Hello?
wav/hellopeasants.wav|Hello, peasants!
wav/heyheresanidea.wav|Hey, here's an idea!
wav/icanthearanything.wav|I can't hear anything!
wav/idontknow.wav|I don't know.
wav/idontneedfriendsineedasexchangeoperationandgiveittomenow.wav|I don't need friends, I need a sex change operation and give it to me now!
wav/ifyouwantchildrenbeatenyouhavetodoityourself.wav|If you want children beaten, you have to do it yourself.
wav/ihaveallthemoney.wav|I have all the money!
wav/iknowwhatthisisabout.wav|I know what this is about.
wav/imabender-ibendgirders-thatsallimprogrammedtodo.wav|I'm a Bender! I bend girders. That's all I'm programmed to do.
wav/imbender.wav|I'm Bender!
wav/imfinallyricherthanthosesnootyATMmachines.wav|I'm finally richer than those snooty ATM machines!
wav/imgonnagobuildmyownthemepark.wav|Yeah, well, I'm gonna go build my own theme park with blackjack and hookers. In fact, forget the park!
wav/imgonnagokillmyself.wav|I'm gonna go kill myself.
wav/imustlookridiculous.wav|I must look ridiculous!
wav/inyourface.wav|In your face!
wav/isoldmybody.wav|I SOLD MY BODY!
wav/itlookslikeyournecksteppedinsomething.wav|It looks like your neck stepped in something.
wav/itsnothinalawsuitwontcure.wav|It's nothing a lawsuit won't cure.
wav/itssobeautiful.wav|It's so beautiful!
wav/itwasapleasuremeetingyou.wav|It was a pleasure meeting you.
wav/ivehadituptoherewiththisplace.wav|Hey, I've had it up there here with this place.
wav/laugh-1.wav|Ha ha ha ha ha ha ha!
wav/letsgogetdrunk.wav|Let's go get drunk!
wav/lies.wav|Lies!
wav/listenbuddy-iminahurryhere.wav|Listen buddy, I'm in a hurry here.
wav/lookpal.wav|Look pal!
wav/lousystinkinripoff.wav|Lousy stinking ripoff
wav/makeawomanouttame.wav|Make a woman out of me!
wav/maybeifyoucleanupfirst.wav|Maybe if you clean up first.
wav/mynameiscoilette.wav|My name is Coilette!
wav/nothanks.wav|No thanks!
wav/ohcantI.wav|Oh, can't I?
wav/ohgreatnowyoutellme.wav|Oh great, now you tell me!
wav/ohherecomesviolence.wav|Ohohoho! Here comes violence!
wav/ohmygod.wav|Oh my god!
wav/rightnnowIfeelsorryforyou.wav|Right now I feel sorry for you.
wav/soitsacakeyouwantisit.wav|So it's a cake you want, is it?
wav/solongcoffinstuffers.wav|So long, coffin stuffers!
wav/terribleshamethat.wav|Terrible shame that
wav/thankyou.wav|Thank you!
wav/thatdirtydoublecrossingbastard.wav|That dirty double crossing bastard!
wav/therichgetricher.wav|The rich get richer.
wav/thisllteachthosefilthybastardswhoseloveable.wav|This'll teach those filthy bastards who's lovable.
wav/thisplacehasclass.wav|This place has class!
wav/wait.wav|WAIT
wav/wannakillallhumans.wav|Want to kill all humans?
wav/watchmepoorman.wav|Watch me, poor man!
wav/whatamIgonnado.wav|What am I gonna do?
wav/whatchagonnado.wav|What you gonna do?
wav/whatprizedoiget-cash.wav|What prize do I get? Cash?
wav/whatstherentononeofthesejars.wav|What's the rent on one of these jars?
wav/whoamamma.wav|Whoa, Mama!
wav/whoooo.wav|Wooo!
wav/wouldyoukindlyshutyournoisehole.wav|Would you kindly shut your noise hole?
wav/yessir.wav|Yes sir!
wav/yesss.wav|Yes!
wav/yo.wav|Yo!
wav/youdonthearmenotcomplaining.wav|You don't hear me, not complaining.
wav/yougotitgenius.wav|You got it, genius!
wav/yougottahelpme.wav|You gotta help me!
wav/youjustlostfivedollars.wav|You just lost five dollars!
wav/youkidding.wav|You kidding?
wav/youkilledmyfatherandnowyouvecomebackforme.wav|You killed my father and now you've come back for me!
wav/youknow-ilikeithere.wav|You know I like it here.
wav/youknow.wav|You know...
wav/yourouttaherelady.wav|You're out of here, lady!
wav/yup.wav|Yep
